Id,Product,Cpu,Ram,Price,TypeName,Inches,ScreenResolution,Memory,Gpu,OpSys,Weight
161,Latitude 5590,Intel Core i5 8250U 1.6GHz,8,86432,Ultrabook,15.6,IPS Panel Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg
162,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8,86656,Notebook,17.3,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg
163,Latitude 5480,Intel Core i7 7600U 2.8GHz,8,86656,Ultrabook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Linux,1.6kg
164,Inspiron 7559,Intel Core i7 6700HQ 2.6GHz,16,86656,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.72kg
165,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,86656,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg
166,XPS 13,Intel Core i5 6300U 2.4GHz,8,86656,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel HD Graphics 520,Linux,1.23kg
167,Latitude 5580,Intel Core i5 7200U 2.5GHz,8,88074,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg
168,Latitude 5480,Intel Core i5 7200U 2.5GHz,8,88233,Notebook,14,Full HD 1920x1080,128GB SSD,Intel HD Graphics 620 ,Windows 10,1.6kg
169,Latitude 5480,Intel Core i5 7200U 2.5GHz,8,88841,Notebook,14,1366x768,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
170,Inspiron 7570,Intel Core i7 8550U 1.8GHz,8,89126,Notebook,15.6,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16kg
171,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16,89494,Notebook,15.6,Full HD 1920x1080,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg
172,Latitude E5270,Intel Core i3 6100U 2.3GHz,4,89506,Ultrabook,12.5,1366x768,500GB HDD,Intel HD Graphics 520,Windows 7,1.5kg
173,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8,90046,Notebook,17.3,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
174,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,90078,Notebook,15.6,Full HD 1920x1080,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg
175,Inspiron 7570,Intel Core i5 8250U 1.6GHz,8,90105,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce 940MX,Windows 10,2kg
176,Latitude 5490,Intel Core i5 8250U 1.6GHz,8,90598,Ultrabook,14,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg
177,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,8,91387,Gaming,15.6,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg
178,Latitude E5270,Intel Core i3 6100U 2.3GHz,4,92015,Ultrabook,12.5,1366x768,128GB SSD,Intel HD Graphics 520,Windows 7,1.5kg
179,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,8,92964,Notebook,14,Full HD 1920x1080,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.64kg
180,Latitude 5580,Intel Core i5 7300U 2.6GHz,8,92964,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg
181,Inspiron 5578,Intel Core i7 7500U 2.7GHz,16,92964,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,512GB SSD,Intel HD Graphics 620,Windows 10,2.09kg
182,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,93143,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Windows 10,2.3kg
183,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8,94225,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65kg
184,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,94541,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.62kg
185,Inspiron 7378,Intel Core i5 7200U 2.5GHz,8,94541,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
186,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,8,95014,Notebook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
187,Inspiron 7560,Intel Core i7 7500U 2.7GHz,8,95171,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.0kg
188,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16,96137,Notebook,15.6,Full HD 1920x1080,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg
189,Latitude E7470,Intel Core i5 6300U 2.4GHz,8,96906,Notebook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 520,Windows 10,1.56kg
190,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,16,98504,Gaming,15.6,Full HD 1920x1080,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
191,Inspiron 7570,Intel Core i7 8550U 1.8GHz,8,99508,Notebook,15.6,IPS Panel Full HD 1920x1080,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.16kg
192,XPS 13,Intel Core i7 6500U 2.5GHz,8,99981,Ultrabook,13.3,Quad HD+ 3200x1800,256GB SSD,Intel HD Graphics 520,Windows 10,1.3kg
193,Inspiron 5379,Intel Core i7 8550U 1.8GHz,16,100849,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,512GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg
194,Latitude 5480,Intel Core i5 7300U 2.6GHz,8,100906,Notebook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.64kg
195,Inspiron 5579,Intel Core i7 8550U 1.8GHz,16,101322,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,512GB SSD,Intel UHD Graphics 620,Windows 10,2kg
196,Latitude 5590,Intel Core i7 8650U 1.9GHz,8,102347,Ultrabook,15.6,Full HD 1920x1080,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg
197,Inspiron 5770,Intel Core i7 8550U 1.8GHz,16,102426,Notebook,17.3,Full HD 1920x1080,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg
198,Inspiron 7579,Intel Core i7 7500U 2.7GHz,12,102426,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,512GB SSD,Intel HD Graphics 620,Windows 10,2.19kg
199,Inspiron 7378,Intel Core i7 7500U 2.7GHz,12,102426,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
200,Alienware 15,Intel Core i7 6700HQ 2.6GHz,16,104791,Gaming,15.6,4K Ultra HD 3840x2160,256GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows 10,3.21kg
201,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,106368,Gaming,15.6,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg
202,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,106368,Gaming,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.6kg
203,Precision 3510,Intel Core i5 6440HQ 2.6GHz,8,107945,Workstation,15.6,Full HD 1920x1080,500GB HDD,AMD FirePro W5130M,Windows 10,2.23kg
204,Latitude 5580,Intel Core i7 7600U 2.8GHz,8,107945,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.93kg
205,Latitude 5580,Intel Core i5 7440HQ 2.8GHz,8,108576,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg
206,XPS 13,Intel Core i7 7560U 2.4GHz,8,108734,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23kg
207,XPS 13,Intel Core i7 7560U 2.4GHz,8,108734,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23kg
208,Inspiron 5770,Intel Core i7 8550U 1.8GHz,16,110074,Notebook,17.3,Full HD 1920x1080,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg
209,XPS 13,Intel Core i5 8250U 1.6GHz,8,110311,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23kg
210,XPS 13,Intel Core i7 8550U 1.8GHz,8,110311,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg
211,Latitude E5270,Intel Core i5 6200U 2.3GHz,8,111422,Ultrabook,12.5,1366x768,256GB SSD,Intel HD Graphics 520,Windows 7,1.5kg
212,Latitude 5580,Intel Core i5 7300U 2.6GHz,16,112492,Notebook,15.6,Full HD 1920x1080,512GB SSD,Intel HD Graphics 620,Windows 10,1.93kg
213,Latitude 7480,Intel Core i5 7300U 2.6GHz,8,112518,Notebook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg
214,XPS 13,Intel Core i7 8550U 1.8GHz,8,114253,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg
215,XPS 13,Intel Core i5 8250U 1.6GHz,8,114324,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg
216,XPS 13,Intel Core i7 7500U 2.7GHz,8,114963,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.29kg
217,Latitude 7280,Intel Core i5 7200U 2.5GHz,8,116082,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics,Windows 10,1.36kg
218,XPS 13,Intel Core i7 7500U 2.7GHz,8,116461,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel HD Graphics 620,Windows 10,1.29kg
219,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,116619,Gaming,15.6,Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg
220,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,118117,Gaming,15.6,4K Ultra HD 3840x2160,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg
221,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,118196,Gaming,15.6,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg
222,XPS 13,Intel Core i5 7200U 2.5GHz,8,118196,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.29kg
223,Latitude 5580,Intel Core i7 7600U 2.8GHz,16,121223,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.93kg
224,Inspiron 7773,Intel Core i7 8550U 1.8GHz,16,122138,Notebook,17.3,Full HD / Touchscreen 1920x1080,512GB SSD,Nvidia GeForce 150MX,Windows 10,2.77kg
225,XPS 13,Intel Core i7 8550U 1.8GHz,8,124504,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg
226,XPS 13,Intel Core i5 8250U 1.6GHz,8,126081,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,128GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
227,Latitude 5590,Intel Core i7 8650U 1.9GHz,16,126787,Ultrabook,15.6,Full HD 1920x1080,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg
228,XPS 13,Intel Core i5 7200U 2.5GHz,8,128052,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel HD Graphics 620,Windows 10,1.29kg
229,XPS 13,Intel Core i5 8250U 1.6GHz,8,128446,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
230,Latitude 7480,Intel Core i5 7200U 2.5GHz,8,129235,Ultrabook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg
231,XPS 13,Intel Core i7 8550U 1.8GHz,8,130023,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
232,XPS 13,Intel Core i7 7Y75 1.3GHz,16,130023,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 615,Windows 10,1.22kg
233,Latitude 5289,Intel Core i5 7200U 2.5GHz,8,131679,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.34kg
234,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,132389,Gaming,15.6,4K Ultra HD 3840x2160,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg
235,Latitude 7480,Intel Core i7 7600U 2.8GHz,8,132468,Ultrabook,14,Full HD 1920x1080,512GB SSD,Intel HD Graphics,Windows 10,1.36kg
236,Latitude 7280,Intel Core i7 7600U 2.8GHz,8,133256,Ultrabook,12.5,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
237,Latitude E7270,Intel Core i5 6300U 2.4GHz,8,135099,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 520,Windows 7,1.26kg
238,XPS 15,Intel Core i5 7300HQ 2.5GHz,8,137908,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
239,Precision 3520,Intel Core i7 7700HQ 2.8GHz,8,139012,Workstation,15.6,Full HD / Touchscreen 1920x1080,256GB SSD,Nvidia Quadro M620,Windows 10,2.06kg
240,Latitude 7480,Intel Core i7 7600U 2.8GHz,8,139958,Ultrabook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg
241,Precision 3520,Intel Core i7 7700HQ 2.8GHz,8,140195,Workstation,15.6,Full HD 1920x1080,1TB HDD,Nvidia Quadro M620,Windows 10,2.23kg
242,Inspiron 7779,Intel Core i7 7500U 2.7GHz,16,141851,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.77kg
243,XPS 13,Intel Core i5 7Y54 1.2GHz,8,142955,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel HD Graphics 615,Windows 10,1.24kg
244,XPS 15,Intel Core i7 7700HQ 2.8GHz,8,143507,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2kg
245,XPS 15,Intel Core i7 7700HQ 2.8GHz,8,144216,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2kg
246,Latitude 7390,Intel Core i5 8250U 1.6GHz,8,145229,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.42kg
247,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,145478,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg
248,Latitude 7280,Intel Core i7 7600U 2.8GHz,16,146582,Ultrabook,12.5,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.18kg
249,XPS 13,Intel Core i7 8550U 1.8GHz,16,147370,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg
250,XPS 13,Intel Core i5 8250U 1.6GHz,8,147370,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23kg
251,XPS 15,Intel Core i7 7700HQ 2.8GHz,16,149736,Notebook,15.6,Full HD 1920x1080,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
252,XPS 13,Intel Core i5 7Y54 1.2GHz,8,149736,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 615,Windows 10,1.24kg
253,XPS 13,Intel Core i7 7Y75 1.3GHz,16,149736,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,512GB SSD,Intel HD Graphics 615,Windows 10,1.22kg
254,XPS 13,Intel Core i7 8550U 1.8GHz,8,153678,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
255,Latitude E7470,Intel Core i7 6600U 2.6GHz,8,154780,Ultrabook,14,Touchscreen 2560x1440,256GB SSD,Intel HD Graphics 520,Windows 10,1.5kg
256,Precision 3520,Intel Core i7 6820HQ 2.7GHz,16,155728,Workstation,15.6,IPS Panel Full HD 1920x1080,256GB SSD,Nvidia Quadro M620,Windows 10,2.17kg
257,Precision 3520,Intel Xeon E3-1505M V6 3GHz,8,157148,Workstation,15.6,Full HD 1920x1080,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows 10,2.23kg
258,XPS 13,Intel Core i7 7Y75 1.3GHz,8,158732,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,512GB SSD,Intel HD Graphics 615,Windows 10,1.24kg
259,XPS 15,Intel Core i7 7700HQ 2.8GHz,16,159862,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
260,Alienware 17,Intel Core i7 7700HQ 2.7GHz,8,161327,Notebook,17.3,IPS Panel Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42kg
261,Alienware 15,Intel Core i5 7300HQ 2.5GHz,16,161721,Gaming,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.21kg
262,Precision 5520,Intel Core i7 6820HQ 2.7GHz,8,168344,Workstation,15.6,IPS Panel Full HD 1920x1080,256GB SSD,Nvidia Quadro M1200,Windows 10,2kg
263,XPS 13,Intel Core i7 7660U 2.5GHz,16,176624,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,512GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.29kg
264,XPS 15,Intel Core i5 6300HQ 2.3GHz,8,177466,Notebook,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,256GB SSD,Nvidia GeForce 960M,Windows 10,2.04kg
265,XPS 13,Intel Core i7 7500U 2.7GHz,16,177727,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,1TB SSD,Intel HD Graphics 620,Windows 10,1.2kg
266,Precision 3520,Intel Core i7 6820HQ 2.7GHz,16,184351,Workstation,15.6,IPS Panel Full HD 1920x1080,512GB SSD,Nvidia Quadro M620,Windows 10,2.17kg
267,XPS 15,Intel Core i7 7700HQ 2.8GHz,16,189003,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
268,XPS 15,Intel Core i7 7700HQ 2.8GHz,16,189161,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
269,Precision M5520,Intel Core i7 7700HQ 2.8GHz,8,189870,Workstation,15.6,Full HD 1920x1080,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78kg
270,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,193682,Gaming,17.3,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42kg
271,XPS 13,Intel Core i7 8550U 1.8GHz,16,197046,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
272,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,197520,Gaming,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.36kg
273,XPS 15,Intel Core i7 7700HQ 2.8GHz,32,208085,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
274,XPS 13,Intel Core i7 7500U 2.7GHz,16,211318,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,512GB SSD,Intel HD Graphics 620,Windows 10,1.2kg
275,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,212816,Gaming,17.3,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
276,Precision M5520,Intel Core i7 7700HQ 2.8GHz,8,213841,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78kg
277,Alienware 17,Intel Core i7 6820HK 2.7GHz,16,217468,Gaming,17.3,2560x1440,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,Windows 10,4.36kg
278,Alienware 15,Intel Core i7 7700HQ 2.8GHz,16,218779,Gaming,15.6,Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.21kg
279,Alienware 17,Intel Core i7 7820HK 2.9GHz,16,220701,Gaming,17.3,IPS Panel 2560x1440,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
280,Alienware 17,Intel Core i7 6700HQ 2.6GHz,32,220780,Gaming,17.3,Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
281,Alienware 15,Intel Core i7 7820HK 2.9GHz,16,221864,Gaming,15.6,Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.49kg
282,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,226219,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
283,Precision 7720,Intel Core i7 7820HQ 2.9GHz,16,227471,Workstation,17.3,Full HD 1920x1080,256GB SSD,Nvidia Quadro M1200,Windows 10,3.42kg
284,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,237556,Gaming,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
285,Precision 7520,Intel Xeon E3-1505M V6 3GHz,16,240886,Workstation,15.6,4K Ultra HD 3840x2160,256GB SSD +  1TB HDD,Nvidia Quadro M1200,Windows 10,2.8kg
286,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,242297,Gaming,17.3,IPS Panel Full HD 1920x1080,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
287,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,248170,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
288,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,248298,Gaming,17.3,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg
289,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,248692,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.36kg
290,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,282976,Gaming,17.3,IPS Panel Full HD 1920x1080,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,4.42kg
291,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,288543,Gaming,17.3,4K Ultra HD 3840x2160,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.36kg
